,country,alpha_3,year,coal_mw_new,coal_mw_retired,coal_mw_change
606,New Zealand,NZL,2005,0,0,0
607,Niger,NER,2005,0,0,0
608,Nigeria,NGA,2005,0,0,0
609,North Korea,KOR,2005,0,0,0
610,North Macedonia,MKD,2005,0,0,0
611,Oman,OMN,2005,0,0,0
612,Pakistan,PAK,2005,0,0,0
613,Panama,PAN,2005,0,0,0
614,Papua New Guinea,PNG,2005,0,0,0
615,Peru,PER,2005,0,0,0
616,Philippines,PHL,2005,0,0,0
617,Poland,POL,2005,0,0,0
618,Portugal,PRT,2005,0,0,0
619,Reunion,REU,2005,0,0,0
620,Romania,ROU,2005,0,0,0
621,Russia,RUS,2005,420,0,420
622,Senegal,SEN,2005,0,0,0
623,Serbia,SRB,2005,0,0,0
624,Slovakia,SVK,2005,0,0,0
625,Slovenia,SVN,2005,0,0,0
626,South Africa,ZAF,2005,0,0,0
627,South Korea,PRK,2005,500,0,500
628,Spain,ESP,2005,0,0,0
629,Sri Lanka,LKA,2005,0,0,0
630,Sudan,SDN,2005,0,0,0
631,Eswatini,SWZ,2005,0,0,0
632,Sweden,SWE,2005,0,0,0
633,Syria,SYR,2005,0,0,0
634,Taiwan,TWN,2005,550,0,550
635,Tajikistan,TJK,2005,0,0,0
636,Tanzania,TZA,2005,0,0,0
637,Thailand,THA,2005,0,0,0
638,Turkey,TUR,2005,495,0,495
639,Ukraine,UKR,2005,0,0,0
640,United Arab Emirates,ARE,2005,0,0,0
641,United Kingdom,GBR,2005,0,0,0
642,United States,USA,2005,434,284,150
643,Uzbekistan,UZB,2005,0,0,0
644,Venezuela,VEN,2005,0,0,0
645,Vietnam,VNM,2005,0,0,0
646,Zambia,ZMB,2005,0,0,0
647,Zimbabwe,ZWE,2005,0,0,0
648,Albania,ALB,2006,0,0,0
649,Argentina,ARG,2006,0,0,0
650,Australia,AUS,2006,0,0,0
651,Austria,AUT,2006,0,330,-330
652,Bangladesh,BGD,2006,250,0,250
653,Belarus,BLR,2006,0,0,0
654,Belgium,BEL,2006,0,341,-341
655,Bosnia and Herzegovina,BIH,2006,0,0,0
656,Botswana,BWA,2006,0,0,0
657,Brazil,BRA,2006,0,0,0
658,Brunei,BRN,2006,0,0,0
